OBJECTID,County,FIPS,Rec_Survey,NCGS_url,ck_date,Shape__Area,Shape__Length,GlobalID
1,Camden,029,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,8650425940.68677,680450.731781273,90044997-3e45-4fb9-868b-d63e35ca5417
2,Gates,073,No recent survey data available, ,2011/11/29 00:00:00+00,9640705372.43262,444604.369559029,9481c531-a035-4ef5-b744-7ea6c273dc2f
3,Iredell,097,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,16670616923.6453,639632.141435393,af176728-342a-4e27-98c7-a3618a76f75d
4,Wilkes,193,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,21111749733.5158,718209.05912305,ff004293-a701-4db2-9992-0746fca95bd3
5,Union,179,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,17827945414.4947,584449.934640082,64144070-8f48-4c5f-ac8e-356806056303
6,Cabarrus,025,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2014/06/25 00:00:00+00,10143637613.6415,438825.388863313,3a63f724-ef5d-414d-856d-f043ee224fc5
7,Wake,183,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2018/12/17 00:00:00+00,23888310468.2758,702026.27370049,c53dafea-2f5d-4fc6-b702-87c714f6a875
8,Franklin,069,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,13787249495.5172,586071.092362123,dc6f359b-8b2a-488f-97fb-dd6084b007c3
9,Pender,141,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2012/12/07 00:00:00+00,24589244260.9034,830663.852256407,3cac5ee3-9f38-4af1-80a6-adf85231b13b
10,New Hanover,129,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,6140589516.49045,514532.887367976,151d7684-a93c-4b38-8c1e-f0cec7971c67
11,Durham,063,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,8303366184.27344,430700.480318264,dccdc7be-01ee-4ab8-a297-ff8242e40712
12,Orange,135,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2020/08/19 00:00:00+00,11177847732.7384,442314.909466527,f929a89d-715d-4bb6-ad6e-402397105157
13,Chatham,037,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2020/08/19 00:00:00+00,19753873886.4432,733483.314662039,8c2e46fd-f068-423e-b047-45e925078896
14,Alamance,001,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2018/08/29 00:00:00+00,12107186416.3944,476690.857702774,fed9be45-4097-4ed5-87b3-edf8cb64c43d
15,Harnett,085,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2019/04/30 00:00:00+00,16774317644.1992,594483.519410626,ecb9018e-9cdf-4492-8796-c2489f25ea5c
16,Moore,125,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,19667956413.7252,762525.038573003,08d2c7ac-5e39-473b-937d-ca4ca05f16e3
17,Beaufort,013,No recent survey data available, ,2011/11/29 00:00:00+00,26859605713.5179,889915.351084912,f7ff0d53-9703-40e6-8edc-d244dbea5b73
18,Martin,117,No recent survey data available, ,2011/11/29 00:00:00+00,12730531658.6759,740355.073392811,a8216531-f5ce-4930-84fe-203d6f48e7b2
19,Pitt,147,No recent survey data available, ,2011/11/29 00:00:00+00,18271650864.4296,750034.498640221,99277e34-375f-4772-b1ed-722db3f96535
20,Greene,079,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2016/11/30 00:00:00+00,7448298694.06873,415266.663152981,9c8041b4-19c6-456f-8af8-be2230d213ec
21,Wilson,195,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,10399597412.5393,430628.75502444,c12e111b-2848-4151-b354-404a890c3ebe
22,Wayne,191,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,15544220405.5017,579641.903107778,3f7d4acd-10e3-4ad5-9c44-aea9a11fa6bf
23,Anson,007,No recent survey data available, ,2011/11/29 00:00:00+00,14970199232.7842,575503.754865896,cfc45f4d-9f7c-4e6d-bba3-597a528a4800
24,Lenoir,107,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2016/11/30 00:00:00+00,11185878705.6871,557870.359045217,a2e4f156-00d4-4822-8743-283aac946845
25,Robeson,155,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,26460080746.5626,827047.421987558,aa92b9ba-77ac-48df-90ce-79843e71cfb7
26,Hoke,093,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,10916060976.359,535987.465198648,cf9d0a14-7165-4ac7-9655-6cd0d6635e7c
27,Johnston,101,No recent survey data available, ,2011/11/29 00:00:00+00,22177432396.2656,673516.101148325,6d5a2a92-0dac-433d-b235-1cfe91037473
28,Brunswick,019,No recent survey data available, ,2011/11/29 00:00:00+00,24914885076.8931,880044.344752616,3357290b-8c8c-487e-a32e-58cce0455766
29,Columbus,047,No recent survey data available, ,2011/11/29 00:00:00+00,26624763069.947,968274.879880266,fff05520-1824-4d77-bdfc-ea09fdfc5c0d
30,Bladen,017,No recent survey data available, ,2011/11/29 00:00:00+00,24741523503.1557,872252.895513726,01857ebc-9f6b-466c-b620-9cf7a41eaed0
31,Onslow,133,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2012/12/07 00:00:00+00,22747152410.9493,703791.9334593,c005afa5-bfdb-4d32-aaae-6ac078b061eb
32,Sampson,163,No recent survey data available, ,2011/11/29 00:00:00+00,26411683746.124,951879.534586024,04dbf915-7235-4670-a3f2-bee23bdb73b1
33,Carteret,031,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,28966566494.1617,1003010.36648762,16039a32-47fa-4e37-a516-c6356c082dba
34,Duplin,061,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,22861381734.8538,673191.407149464,2d5d1f13-6274-4759-98bc-d604902b9a18
35,Scotland,165,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,8936543764.37048,510787.109578582,4088ba27-e33a-4de4-9f96-f5a43b4b83d9
36,Richmond,153,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,13370041950.6219,683020.680539765,31d03639-ed46-4360-98e2-3fe7908b412d
37,Jones,103,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,13202674192.3107,737436.294246917,eb9a74a2-6afb-46ef-aaa3-64c6ab7a83ed
38,Craven,049,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,21545383748.0682,968408.424413002,f818309c-9b61-463e-9c2c-f1be8e638115
39,Cumberland,051,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,18352591643.4746,717940.276164914,92ca572f-9550-452d-a34e-38eb4d17fd6e
40,Pamlico,137,No recent survey data available, ,2011/11/29 00:00:00+00,15632667322.3416,615613.218329771,b2ce5120-4426-4e50-b280-0f84ac6b71d8
41,Mecklenburg,119,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,15202529804.5435,635613.253052669,59b71aab-fdf3-4b5e-9adb-22a358b5758f
42,Jackson,099,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,13792706419.1404,648549.224958928,f5c66255-fd3f-407c-a24b-4895e885c2e7
43,Transylvania,175,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,10600068390.9521,548386.523634038,645e5686-e4a6-4098-beec-546521dedf77
44,Hyde,095,No recent survey data available, ,2011/11/29 00:00:00+00,38949225636.0568,1025891.10229836,27151541-faae-4f07-8b58-8e2f92303df8
45,Montgomery,123,No recent survey data available, ,2011/11/29 00:00:00+00,13971606175.5437,597819.705407995,c138a35e-053b-4991-99ef-90c7712737f8
46,Stanly,167,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2014/06/25 00:00:00+00,11284923675.8606,547988.42842214,1ef83c01-c227-40fc-9f80-a627a22b1189
47,Gaston,071,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,10136315540.7656,496634.404417729,b90aa421-3384-47a9-b85b-0d81b3752cd5
48,Cleveland,045,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,13048810605.7086,517276.411611323,fc927481-6f10-4541-8eda-47b4268d9133
